,Unnamed: 0,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
10,10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",30000,30000.0,3847.68,0.1281558375,0.0795,115.0,14.7379,0.38333333329999997,0.4627899525,138.8369857747,Not specified,29976.162999999997,3844.6751,2021-11-24 12:51:14,Bank Account,Bank Account,0.12825774676790475,2021-11-24 12:51:14,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
11,11,OFX,Payment company,,30000,30000.0,3847.68,0.12593525,1.8114,60.0,7.5561,0.2,2.0114339563,603.430186875,Not specified,29456.5698,3778.0575,2021-11-24 11:16:28,Bank Account,Bank Account,0.12825856927565973,2021-11-24 11:16:28,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
12,12,Public Bank Hong Kong,Payment company,"phone, online",30000,30000.0,3847.68,0.1281558375,0.0763,60.0,7.6894,0.2,0.2762527233,82.87581699350001,Not specified,29977.1242,3844.6751,2021-11-24 13:51:08,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:51:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
13,13,Shanghai Commercial Bank,Payment company,"phone, online",30000,30000.0,3847.68,0.1280409731,0.1671,170.0,21.767,0.5666666667,0.7337601366,220.1280409731,Not specified,29949.872000000003,3841.2292,2021-11-24 13:39:11,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:39:11,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
14,14,Skrill,Payment company,,30000,30000.0,3847.68,0.1245,2.9267,0.0,0.0,0.0,2.9267275,878.01825,Within 24 hours,29121.9818,3735.0,2021-11-24 13:42:30,Debit Card,Bank Account,0.12825363438736445,2021-11-24 13:42:30,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 days'}",US,USD,
15,15,Skrill,Payment company,,30000,30000.0,3847.68,0.1245,2.9267,596.9970970971,74.3261,1.9899903237,4.9167178237,1475.0153470971,Within 24 hours,29121.9818,3735.0,2021-11-24 13:42:29,Credit Card,Bank Account,0.12825363438736445,2021-11-24 13:42:29,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 days'}",US,USD,
16,16,Wing Lung bank,Bank,"phone, online",30000,30000.0,3847.68,0.12841916009999998,-0.1291,100.0,12.8419,0.3333333333,0.20427207739999997,61.2816232182,Not specified,30038.7184,3852.5748,2021-11-24 13:42:07,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:42:07,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
17,17,Wirebarley Australia Pty Ltd,Payment company,,30000,30000.0,3847.68,0.1268437,1.1006,20.0,2.5369,0.0666666667,1.1672679952,350.18039855,Not specified,29669.8196,3805.3109999999997,2021-11-24 13:37:21,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:37:21,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
18,18,Wise,Payment company,online,30000,29868.863080000003,3847.68,0.128255,0.0002,131.13692,16.819000000000003,0.4390422215,0.43925999649999997,131.20196691659999,Not specified,29868.798,3830.8309999999997,2021-11-24 12:59:33,Bank Account,Bank Account,0.1282552793079345,2021-11-24 12:59:33,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
19,19,WorldRemit,Payment company,online,30000,30000.0,3847.68,0.12564,2.1541,25.0,3.141,0.0833333333,2.2374141333,671.22424,Not specified,29353.7758,3769.2,2021-11-17 18:23:14,Debit Card,Bank Account,0.12840596830940704,2021-11-17 18:23:14,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
20,20,WorldRemit,Payment company,online,30000,30000.0,3847.68,0.12549000000000002,2.1573,25.0,3.1373,0.0833333333,2.2406626833,672.198805,Within 24 hours,29352.8012,3764.7,2021-11-24 12:58:44,Credit Card,Bank Account,0.12825692427069907,2021-11-24 12:58:44,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'Any USD account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",US,USD,
21,21,WorldRemit,Payment company,online,30000,30000.0,3847.68,0.12564,2.1541,25.0,3.141,0.0833333333,2.2374141333,671.22424,Not specified,29353.7758,3769.2,2021-11-17 18:23:14,Credit Card,Bank Account,0.12840596830940704,2021-11-17 18:23:14,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
22,22,WorldRemit,Payment company,online,30000,30000.0,3847.68,0.12549000000000002,2.1573,25.0,3.1373,0.0833333333,2.2406626833,672.198805,Within 24 hours,29352.8012,3764.7,2021-11-24 12:58:44,Debit Card,Bank Account,0.12825692427069907,2021-11-24 12:58:44,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any USD account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",US,USD,
23,23,Xendpay,Payment company,"phone, online",30000,30000.0,3847.68,0.12761,0.5025,0.0,0.0,0.0,0.502483,150.7449,Not specified,29849.2551,3828.3,2021-11-24 13:46:24,Bank Account,Bank Account,0.12825445684237527,2021-11-24 13:46:24,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
0,0,Bank of East Asia HK,Payment company,"phone, online",1000,1000.0,128.25,0.12809017550000001,0.1287,100.0,12.809000000000001,10.0,10.1287306264,101.2873062636,Not specified,998.7127,128.0902,2021-11-24 13:38:07,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:38:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,1,China Construction Bank,Payment company,"phone, online",1000,1000.0,128.25,0.1281361318,0.0923,100.0,12.8136,10.0,10.0922580149,100.9225801492,Not specified,999.0774,128.1361,2021-11-24 13:47:58,Bank Account,Bank Account,0.12825445684237527,2021-11-24 13:47:58,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,2,Chong Hing Bank,Bank,"phone, online",1000,1000.0,128.25,0.12800983119999998,0.1901,110.0,14.0811,11.0,11.1900945993,111.9009459927,Not specified,998.0991,128.0098,2021-11-24 13:45:42,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:45:42,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,3,CITIC Bank,Payment company,"phone, online",1000,1000.0,128.25,0.1280032769,0.1952,100.0,12.8003,10.0,10.195204997200001,101.9520499725,Not specified,998.048,128.0033,2021-11-24 13:51:30,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:51:30,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,4,DBS Hong Kong,Payment company,"phone, online",1000,1000.0,128.25,0.1278412723,0.3215,100.0,12.7841,10.0,10.3215207998,103.21520799780001,Not specified,996.7848,127.8413,2021-11-24 13:44:04,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:44:04,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,5,Fubon Bank (Hong Kong),Payment company,"phone, online",1000,1000.0,128.25,0.1281246396,0.1019,100.0,12.8125,10.0,10.1018590885,101.0185908852,Not specified,998.9814,128.1246,2021-11-24 13:38:08,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:38:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,6,Hang Seng Bank,Payment company,"phone, online",1000,1000.0,128.25,0.1279754287,0.2169,65.0,8.3184,6.5,6.7169183516999995,67.1691835168,Not specified,997.8308,127.9754,2021-11-24 13:43:07,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:43:07,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,7,HSBC Hong Kong,Payment company,"phone, online",1000,1000.0,128.25,0.1277498148,0.3928,50.0,6.3875,5.0,5.3928306803999995,53.928306803999995,Not specified,996.0717,127.7498,2021-11-24 13:43:33,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:43:33,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,8,InstaReM,Payment company,online,1000,995.5,128.25,0.1282,0.0431,4.5,0.5769,0.4520341537,0.4951351537,4.929070455,Not specified,995.0709,127.6231,2021-11-24 13:37:16,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:37:16,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
9,9,InstaReM,Payment company,online,1000,975.5,128.25,0.1282,0.0431,24.5,3.1409,2.5115325474000003,2.5546335474,24.920450255,Not specified,975.0795,125.0591,2021-11-24 13:37:17,Debit Card,Bank Account,0.1282552793079345,2021-11-24 13:37:17,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
10,10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.25,0.1281558375,0.0795,115.0,14.7379,11.5,11.5794566192,115.7945661925,Not specified,999.2054,128.1558,2021-11-24 12:51:14,Bank Account,Bank Account,0.12825774676790475,2021-11-24 12:51:14,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
11,11,Public Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.25,0.1281558375,0.0763,60.0,7.6894,6.0,6.0762527233000005,60.7625272331,Not specified,999.2375,128.1558,2021-11-24 13:51:08,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:51:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
12,12,Shanghai Commercial Bank,Payment company,"phone, online",1000,1000.0,128.25,0.1280409731,0.1671,170.0,21.767,17.0,17.1670934699,171.6709346991,Not specified,998.3291,128.041,2021-11-24 13:39:11,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:39:11,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
13,13,Skrill,Payment company,,1000,1000.0,128.25,0.1245,2.9267,0.0,0.0,0.0,2.9267275,29.267275,Within 24 hours,970.7327,124.5,2021-11-24 13:42:30,Debit Card,Bank Account,0.12825363438736445,2021-11-24 13:42:30,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 days'}",US,USD,
14,14,Skrill,Payment company,,1000,1000.0,128.25,0.1245,2.9267,19.9,2.4776,1.99,4.9167275,49.167275,Within 24 hours,970.7327,124.5,2021-11-24 13:42:29,Credit Card,Bank Account,0.12825363438736445,2021-11-24 13:42:29,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 days'}",US,USD,
15,15,Western Union,Payment company,"phone, online",1000,1000.0,128.25,0.12658060000000002,1.3032,15.0,1.8987,1.5,2.8032074710000003,28.03207471,Within 24 hours,986.9679,126.5806,2021-11-24 11:52:42,Credit Card,Bank Account,0.12825198950898725,2021-11-24 11:52:42,Not specified,"{'pay_in_method': 'CreditCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",US,USD,
16,16,Western Union,Payment company,"phone, online",1000,1000.0,128.25,0.12760660000000001,0.5032,0.0,0.0,0.0,0.503219881,5.03219881,Within 24 hours,994.9678,127.6066,2021-11-24 11:52:42,Mobile Wallet,Bank Account,0.12825198950898725,2021-11-24 11:52:42,Not specified,"{'pay_in_method': 'TapNGo', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",US,USD,
17,17,Western Union,Payment company,"phone, online",1000,1000.0,128.25,0.12658060000000002,1.3032,15.0,1.8987,1.5,2.8032074710000003,28.03207471,Within 24 hours,986.9679,126.5806,2021-11-24 11:52:42,Debit Card,Bank Account,0.12825198950898725,2021-11-24 11:52:42,Not specified,"{'pay_in_method': 'DebitCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",US,USD,
18,18,Western Union,Payment company,"phone, online",1000,1000.0,128.25,0.12760660000000001,0.5032,0.0,0.0,0.0,0.503219881,5.03219881,Within 24 hours,994.9678,127.6066,2021-11-24 11:52:42,Bank Account,Bank Account,0.12825198950898725,2021-11-24 11:52:42,Not specified,"{'pay_in_method': 'WUPay', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",US,USD,
19,19,Wing Lung bank,Bank,"phone, online",1000,1000.0,128.25,0.12841916009999998,-0.1291,100.0,12.8419,10.0,9.8709387441,98.7093874406,Not specified,1001.2906,128.4192,2021-11-24 13:42:07,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:42:07,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
20,20,Wirebarley Australia Pty Ltd,Payment company,,1000,1000.0,128.25,0.1265872,1.3006,20.0,2.5317,2.0,3.300593096,33.00593096,Not specified,986.9941,126.5872,2021-11-24 13:37:21,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:37:21,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
21,21,Wise,Payment company,online,1000,966.70978,128.25,0.128255,0.0002,33.29022,4.2696,3.4436622747000003,3.4438800497,33.2923252522,Not specified,966.7077,123.9854,2021-11-24 12:59:33,Debit Card,Bank Account,0.1282552793079345,2021-11-24 12:59:33,Not specified,"{'pay_in_method': 'DEBIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
22,22,Wise,Payment company,online,1000,992.9830800000001,128.25,0.128255,0.0002,7.01692,0.9,0.7066505101,0.7068682851000001,7.0190824689,Not specified,992.9809,127.355,2021-11-24 12:59:33,Bank Account,Bank Account,0.1282552793079345,2021-11-24 12:59:33,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
23,23,Wise,Payment company,online,1000,966.70978,128.25,0.128255,0.0002,33.29022,4.2696,3.4436622747000003,3.4438800497,33.2923252522,Not specified,966.7077,123.9854,2021-11-24 12:59:34,Credit Card,Bank Account,0.1282552793079345,2021-11-24 12:59:34,Not specified,"{'pay_in_method': 'CREDIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
24,24,WorldRemit,Payment company,online,1000,1000.0,128.25,0.12564,2.1541,25.0,3.141,2.5,4.6540808,46.540808,Not specified,978.4592,125.64,2021-11-17 18:23:14,Debit Card,Bank Account,0.12840596830940704,2021-11-17 18:23:14,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
25,25,WorldRemit,Payment company,online,1000,1000.0,128.25,0.12549000000000002,2.1573,25.0,3.1373,2.5,4.65732935,46.5732935,Within 24 hours,978.4267,125.49,2021-11-24 12:58:44,Credit Card,Bank Account,0.12825692427069907,2021-11-24 12:58:44,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'Any USD account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",US,USD,
26,26,WorldRemit,Payment company,online,1000,1000.0,128.25,0.12564,2.1541,25.0,3.141,2.5,4.6540808,46.540808,Not specified,978.4592,125.64,2021-11-17 18:23:14,Credit Card,Bank Account,0.12840596830940704,2021-11-17 18:23:14,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
27,27,WorldRemit,Payment company,online,1000,1000.0,128.25,0.12549000000000002,2.1573,25.0,3.1373,2.5,4.65732935,46.5732935,Within 24 hours,978.4267,125.49,2021-11-24 12:58:44,Debit Card,Bank Account,0.12825692427069907,2021-11-24 12:58:44,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any USD account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",US,USD,
28,28,Xendpay,Payment company,"phone, online",1000,1000.0,128.25,0.12761,0.5025,0.0,0.0,0.0,0.502483,5.024830000000001,Not specified,994.9752,127.61,2021-11-24 13:46:24,Bank Account,Bank Account,0.12825445684237527,2021-11-24 13:46:24,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
0,0,Bank of East Asia HK,Payment company,"phone, online",150000,150000.0,19238.42,0.12809017550000001,0.1287,100.0,12.809000000000001,0.0666666667,0.19539729309999998,293.0959395414,Not specified,149806.9041,19213.5263,2021-11-24 13:38:07,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:38:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,1,China Construction Bank,Payment company,"phone, online",150000,150000.0,19238.42,0.1281361318,0.0923,100.0,12.8136,0.0666666667,0.1589246816,238.38702237259997,Not specified,149861.613,19220.4198,2021-11-24 13:47:58,Bank Account,Bank Account,0.12825445684237527,2021-11-24 13:47:58,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,2,Chong Hing Bank,Bank,"phone, online",150000,150000.0,19238.42,0.12800983119999998,0.1901,110.0,14.0811,0.0733333333,0.2634279326,395.1418988978,Not specified,149714.8581,19201.4747,2021-11-24 13:45:42,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:45:42,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,3,CITIC Bank,Payment company,"phone, online",150000,150000.0,19238.42,0.1280032769,0.1952,100.0,12.8003,0.0666666667,0.2618716639,392.8074958719,Not specified,149707.1925,19200.4915,2021-11-24 13:51:30,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:51:30,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,4,DBS Hong Kong,Payment company,"phone, online",150000,150000.0,19238.42,0.1278412723,0.3215,100.0,12.7841,0.0666666667,0.38818746649999997,582.2811996625,Not specified,149517.7188,19176.1908,2021-11-24 13:44:04,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:44:04,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,5,Fubon Bank (Hong Kong),Payment company,"phone, online",150000,150000.0,19238.42,0.1281246396,0.1019,100.0,12.8125,0.0666666667,0.1685257552,252.788632782,Not specified,149847.2114,19218.6959,2021-11-24 13:38:08,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:38:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,6,Hang Seng Bank,Payment company,"phone, online",150000,150000.0,19238.42,0.1279754287,0.2169,65.0,8.3184,0.0433333333,0.260251685,390.37752751470003,Not specified,149674.6225,19196.3143,2021-11-24 13:43:07,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:43:07,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,7,HSBC Hong Kong,Payment company,"phone, online",150000,150000.0,19238.42,0.1277498148,0.3928,50.0,6.3875,0.033333333300000004,0.42616401369999996,639.2460205933,Not specified,149410.75400000002,19162.4722,2021-11-24 13:43:33,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:43:33,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,8,InstaReM,Payment company,online,150000,149325.0,19238.42,0.1282,0.0431,675.0,86.535,0.4520341537,0.4951351537,739.36056825,Not specified,149260.6394,19143.465,2021-11-24 13:37:16,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:37:16,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
